@relation cpu-weka.filters.unsupervised.instance.Resample-S1-Z70.0

@attribute MYCT numeric
@attribute MMIN numeric
@attribute MMAX numeric
@attribute CACH numeric
@attribute CHMIN numeric
@attribute CHMAX numeric
@attribute class numeric

@data
84,1000,2000,0,1,6,12
57,4000,24000,64,12,16,237
300,768,3000,6,6,24,44
250,512,4000,0,1,7,25
35,8000,32000,64,8,24,370
320,128,6000,0,1,12,23
400,2000,4000,0,1,1,32
350,64,64,0,1,4,10
30,8000,64000,128,12,176,1150
50,1000,4000,8,1,5,29
330,1000,2000,0,1,2,16
75,4000,16000,16,1,6,66
56,4000,12000,0,1,8,42
320,128,6000,0,1,12,23
38,8000,16000,64,4,8,100
30,8000,64000,128,12,176,1150
30,8000,64000,96,12,176,915
105,2000,8000,16,4,14,58
105,2000,4000,8,3,8,22
29,8000,32000,32,8,32,220
115,2000,8000,16,1,3,50
300,192,768,6,6,24,36
140,1000,16000,16,1,3,138
25,2000,12000,16,3,5,66
50,2000,16000,8,3,6,52
185,2000,16000,16,1,6,76
50,2000,8000,8,1,5,71
167,524,2000,8,4,15,19
75,4000,16000,16,1,6,66
105,256,2000,0,3,10,26
50,4000,16000,65,1,8,138
30,8000,64000,96,12,176,915
105,2000,6000,16,6,16,33
200,1000,8000,0,1,2,36
75,4000,16000,16,1,6,66
29,8000,16000,32,8,16,132
17,4000,16000,8,6,12,100
100,1000,8000,24,3,6,32
175,256,2000,0,3,24,22
105,256,2000,0,3,10,26
133,1000,12000,9,3,12,72
35,8000,32000,64,8,24,370
60,2000,16000,64,5,8,74
125,2000,8000,0,2,14,52
160,2000,8000,32,1,13,109
100,1000,8000,24,2,6,26
400,2000,4000,0,1,1,32
480,96,512,0,1,1,6
800,256,8000,0,1,4,22
1100,768,2000,0,1,1,13
700,256,2000,0,1,1,24
50,1000,4000,8,1,5,29
300,768,3000,6,6,24,44
50,4000,16000,64,5,10,111
320,256,5000,4,1,6,27
105,1000,4000,0,3,24,32
125,2000,8000,0,2,14,52
140,1000,16000,16,1,3,138
200,512,8000,8,1,8,62
133,1000,8000,9,3,12,72
480,1000,4000,0,0,0,45
50,2000,16000,24,6,16,65
320,256,5000,4,1,6,27
98,1000,8000,32,2,8,46
56,2000,6000,0,1,8,21
320,256,5000,4,1,6,27
250,512,4000,0,4,7,50
300,1000,4000,8,3,64,38
105,2000,8000,16,4,14,58
124,1000,8000,0,1,8,42
50,2000,16000,8,3,5,40
200,512,8000,8,1,8,62
56,1000,4000,0,1,6,17
38,8000,16000,64,4,8,100
400,1000,3000,0,1,2,38
700,384,8000,0,1,1,24
50,8000,16000,48,1,10,136
23,16000,64000,64,16,32,636
200,1000,4000,0,1,4,30
26,8000,24000,32,8,16,173
26,16000,32000,64,8,24,465
250,1000,16000,1,1,8,50
300,768,4500,0,1,24,45
75,2000,16000,128,1,38,259
133,1000,12000,9,3,12,72
75,4000,16000,16,1,6,66
140,2000,8000,32,1,54,66
180,262,4000,0,1,3,18
75,2000,8000,8,3,24,62
105,1000,4000,0,3,24,32
180,262,4000,0,1,3,18
105,2000,8000,16,4,14,58
200,512,16000,0,4,32,35
56,1000,4000,0,1,6,17
320,512,5000,4,1,5,77
140,2000,32000,32,1,54,189
140,2000,32000,32,1,20,134
320,512,5000,4,1,5,77
225,2000,4000,8,3,6,40
17,4000,16000,32,6,12,133
110,3100,6200,0,6,64,76
57,4000,16000,1,6,12,132
140,1000,16000,16,1,3,138
50,4000,16000,64,5,10,111
200,2000,8000,64,1,5,41
800,256,8000,0,1,4,20
300,768,3000,6,6,24,44
50,1000,4000,8,1,5,29
52,4000,16000,32,4,12,130
125,256,6000,256,16,128,198
810,512,512,8,1,1,18
52,4000,16000,32,4,12,130
320,256,3000,4,1,3,27
330,1000,3000,0,2,4,16
92,2000,8000,32,1,6,62
100,1000,8000,0,2,6,16
75,4000,16000,16,1,6,66
56,4000,12000,0,1,8,42
17,4000,16000,32,6,12,133
50,2000,16000,8,3,5,40
50,2620,10480,30,12,24,63
56,2000,8000,0,1,8,24
140,2000,4000,8,1,20,35
800,256,8000,0,1,4,12
75,2000,8000,64,1,38,144
26,8000,24000,32,8,16,173
160,2000,8000,32,1,13,109
320,128,6000,0,1,12,23
17,4000,16000,8,6,12,100
75,2000,8000,64,1,38,144
200,1000,4000,0,1,4,30
98,1000,8000,32,2,8,46
38,4000,16000,128,16,32,212
23,16000,32000,64,16,32,489
38,8000,32000,64,8,24,326
105,256,2000,0,3,10,26
105,2000,8000,16,4,14,58
140,2000,4000,8,1,20,35
1500,768,1000,0,0,0,12
800,256,8000,0,1,4,12
30,8000,64000,128,12,176,1150
143,512,5000,0,7,32,28
38,4000,16000,128,16,32,212
800,256,8000,0,1,4,16
143,1000,2000,0,5,16,31
52,4000,16000,32,4,12,130
